orispl_code,name,unit_ids
9,Copper Station,CTG-1
87,Escalante Generating Station,1
113,Cholla,1/2/3/4
116,Ocotillo Power Plant,1/2
117,APS West Phoenix Power Plant,CC4/CC5A/CC5B
118,APS Saguaro Power Plant,1/2/CT3
120,Yucca Power Plant,1/CT5/CT6
124,De Moss Petrie Generating Station,GT1
126,Irvington Generating Station,1/2/3/4
141,Agua Fria Generating Station,1/2/3
147,Kyrene Generating Station,K-1/K-2/K-7
160,Apache Station,1/2/3/4
228,Contra Costa Generating Station,10/9
246,Humboldt Bay,1/2
247,Hunters Point,3/4/5/6/7
259,"Morro Bay Power Plant, LLC",1/2/3/4
260,Moss Landing,1A/2A/3A/4A/6-1/7-1
271,Pittsburg Generating Station (CA),1/2/3/4/5/6/7
273,Potrero Generating Station,3-1
302,Cabrillo Power I Encina Power Station,1/2/3/4/5
310,"Duke Energy South Bay Power Plant, LLC",1/2/3/4
315,AES Alamitos,1/2/3/4/5/6
329,Coolwater Generating Station,1/2/31/32/41/42
330,El Segundo,1/2/3/4/5/7
331,Etiwanda Generating Station,1/2/3/4
334,Riverside Canal Power Company,1/2/3/4
335,AES Huntington Beach,1/2/3A/4A
341,Long Beach Generating Station,1/2/3/4
345,Mandalay Generating Station,1/2
350,Ormond Beach Generating Station,1/2
356,AES Redondo Beach,17/5/6/7/8
358,Mountainview Generating Station,1/2/3-1/3-2/4-1/4-2
375,Magnolia (OLD),M4
377,Grayson Power Plant,4/5/9
389,El Centro,2-2/3/3-1/3-2/4
399,Harbor Generating Station,**10A/**10B/10/11/12/13/14
400,Haynes Generating Station,1/10/11/12/13/14/15/16/2/3/4/5/6/9
404,Scattergood Generating Station,1/2/3/4/6/7
408,Valley Generating Station,3/4/5/6/7
420,Broadway,B1/B2/B3
422,Glenarm,GT3/GT4/GT5
465,Arapahoe,1/2/3/4
468,Cameo,2
469,Cherokee,1/2/3/4/5/6
470,Comanche (470),1/2/3
477,Valmont,5
478,Zuni,1/2/3
492,Martin Drake,5/6/7
508,Lamar,8
525,Hayden,H1/H2
527,Nucla,1
607,Fredonia Generating Station,CT3/CT4
2176,Glendive Generating Station,GT-2
2187,J E Corette,2
2322,Clark,1/11A/11B/12A/12B/13A/13B/14A/14B/15A/15B/16A/16B/17A/17B/18A/18B/19A/19B/2/20A/20B/21A/21B/22A/22B/3
2324,Reid Gardner,1/2/3/4
2326,Sunrise,1
2330,Fort Churchill,1/2
2336,Tracy,1/2/3/4/5/6/8/9
2341,Mohave,1/2
2442,Four Corners Steam Elec Station,1/2/3/4/5
2444,Rio Grande,6/7/8/9
2446,Maddox,051B
2450,Reeves Generating Station,1/2/3
2451,San Juan,1/2/3/4
2454,Cunningham,121B/122B/123T/124T
3456,Newman,**4/**5/1/2/3/GT-6A/GT-6B
3644,Carbon,1/2
3648,Gadsby,1/2/3/4/5/6
3845,Centralia,30/40/50/60/BW21/BW22
4158,Dave Johnston,BW41/BW42/BW43/BW44
4162,Naughton,1/2/3
4941,Navajo Generating Station,1/2/3
6013,Olive,01/02
6021,Craig,C1/C2/C3
6076,Colstrip,1/2/3/4
6089,Lewis & Clark,B1
6101,Wyodak,BW91
6106,Boardman,1SG
6112,Fort St. Vrain,2/3/4/5/6
6165,Hunter,1/2/3
6177,Coronado Generating Station,U1B/U2B
6204,Laramie River,1/2/3
6248,Pawnee,1
6481,Intermountain,1SGA/2SGA
6761,Rawhide Energy Station,101/A/B/C/D/F
7082,Harry Allen,**3/**4/**5/**6
7266,Woodland Generation Station,1/2
7307,Redding Power Plant,5/6
7315,Almond Power Plant,1/2/3/4
7350,Coyote Springs,CTG1/CTG2
7449,NCPA Combustion Turbine Project #2,NA1
7456,Rathdrum Combustion Turbine Project,1/2
7504,Neil Simpson II,001/CT1
7527,Carson Cogeneration,1/2
7551,SCA Cogen II,1A/1B/1C
7552,Sacramento Power Authority Cogen,1
7605,River Road,1
7693,Anaheim Combustion Turbine,1
7790,Bonanza,1-1
7870,Encogen Generating Station,CT1/CT2/CT3
7945,Finley Combustion Turbine,1
7953,Evander Andrews Power Complex,CT1/CT2/CT3
7967,Lordsburg Generating Station,1/2
7975,Pyramid Generating Station,1/2/3/4
7987,Lake,01
7999,Grays Harbor Energy Center,1/2
8066,Jim Bridger,BW71/BW72/BW73/BW74
8068,Santan,5A/5B/6A
8069,Huntington,1/2
8219,Ray D Nixon,1/2/3
8223,Springerville Generating Station,1/2/4/TS3
8224,North Valmy,1/2
10034,"Calpine Gilroy Cogen, LP",S-100
10156,"Fresno Cogeneration Partners, LP",GEN1
10169,Carson Cogeneration Company,D1
10294,King City Energy Center,2
10349,Yuba City Energy Center,2
10350,Greenleaf One,1
10405,Kingsburg Cogen Facility,1
10682,Brush 3,GT2/GT4/GT5
10761,Las Vegas Generating Station,1/2/3/4/5
10812,North Island,CT1
50131,Coalinga Cogeneration Facility,1
50707,J M Shafer,S001/S002/S003/S004/S005
50864,Sargent Canyon Cogen Facility,1
50865,Salinas River Cogeneration Facility,1
50951,Sunnyside Cogeneration Associates,1
54238,DTE Stockton,BIOMS1
54476,Sumas Generating Station,CT-1
54537,Ferndale Generating Station,CT-1A/CT-1B
54694,Yuma Cogeneration Associates,4101
54749,Goal Line,1
54761,Hermiston,1/2
54814,Milagro Cogeneration and Gas Plant,1/2
54854,Sun Peak Generating Station,3/4/5
55039,Rio Bravo Generating Station,GT-1
55077,Desert Star Energy Center,EDE1/EDE2
55103,Klamath Cogeneration Project,CT1/CT2
55112,Calpine Sutter Energy Center,CT01/CT02
55124,Griffith Energy LLC,P1/P2
55127,Manchief Station,CT1/CT2
55129,Desert Basin Generating Station,DBG1/DBG2
55151,La Paloma Generating Plant,CTG-1/CTG-2/CTG-3/CTG-4
55177,"South Point Energy Center, LLC",A/B
55179,"Rathdrum Power, LLC",CTGEN1
55182,Sunrise Power Company,CTG1/CTG2
55200,Arapahoe Combustion Turbine,CT5/CT6
55207,Valmont Combustion Turbine Facility,CT7/CT8
55210,Afton Generating Station,0001
55217,"Los Medanos Energy Center, LLC",X724/X725
55282,Duke Energy Arlington Valley,CTG1/CTG2
55283,Front Range Power Plant,1/2
55295,Blythe Energy,1/2
55306,Gila River Power Station,1CTGA/1CTGB/2CTGA/2CTGB/3CTGA/3CTGB/4CTGA/4CTGB
55322,Chuck Lenzie Generating Station,CTG-1/CTG-2/CTG-3/CTG-4
55328,Hermiston Power Plant,CTG-1/CTG-2
55333,"Delta Energy Center, LLC",1/2/3
55343,Luna Energy Facility,CTG1/CTG2
55345,"Otay Mesa Energy Center, LLC",CTG-1/CTG-2
55372,"New Harquahala Generating Company, LLC",CTG1/CTG2/CTG3
55393,Metcalf Energy Center,1/2
55400,Elk Hills Power,CTG-1/CTG-2
55453,Fountain Valley Combustion Turbine,1/2/3/4/5/6
55455,Redhawk Generating Facility,CC1A/CC1B/CC2A/CC2B
55477,Neil Simpson II (CT2),CT2
55479,Wygen I,001
55481,Mesquite Generating Station,1/2/5/6
55482,Goldendale Generating Station,CT-1
55494,Tri-Center Naniwa Energy,CT1/CT2/CT3/CT4/CT5/CT6
55499,Cal Peak Power - Vaca Dixon LLC,GT-1
55504,Limon Generating Station,L1/L2
55505,Frank Knutson Station,BR1/BR2
55508,Cal Peak Power - Panoche LLC,GT-1
55510,CalPeak Power - Border,GT-1
55512,Cuyamaca Peak Energy,GT-1
55513,CalPeak Power - Enterprise,GT-1
55514,Apex Generating Station,CTG01/CTG02
55518,High Desert Power Project,CTG1/CTG2/CTG3
55522,Sundance Power Plant,CT01/CT02/CT03/CT04/CT05/CT06/CT07/CT08/CT09/CT10
55538,"Escondido Energy Center, LLC",CT1A/CT1B/CTG1
55540,Chula Vista Power Plant,1A/1B
55541,Indigo Generation Facility,1/2/3
55542,Larkspur Energy Faciity,1/2
55544,Klamath Generation Peakers,GT1/GT2/GT3/GT4
55622,West Valley Power Plant,U1/U2/U3/U4/U5
55625,Creed Energy Center,UNIT1
55626,Lambie Energy Center,UNIT1
55627,Goose Haven Energy Center,UNIT1
55645,Blue Spruce Energy Center,CT-01/CT-02
55656,Pastoria Energy Facility,CT001/CT002/CT004
55662,Chehalis Generation Facility,CT1/CT2
55683,Morrow Power Project,1
55687,Walter M. Higgins III Generating Station,BHG1/BHG2
55698,Hanford Energy Park Peaker,HEP1/HEP2
55700,Mint Farm Generating Station,CTG1
55733,Bennett Mountain Power Project,CT01
55748,Los Esteros Critical Energy Facility,CTG1/CTG2/CTG3/CTG4
55749,Hardin Generating Station,U1
55802,Valencia Power Plant,CTG1
55807,Henrietta Peaker Plant,HPP1/HPP2
55810,"Gilroy Energy Center, LLC",S-3/S-4/S-5
55818,Frederickson Power LP,F1CT
55835,Rocky Mountain Energy Center,1/2
55841,Silverhawk,A01/A03
55847,Feather River Energy Center,UNIT1
55853,Inland Empire Energy Center,1/2
55855,Wolfskill Energy Center,UNIT1
55858,Desert Power Plant,UNT1/UNT2
55875,"Wellhead Power Gates, LLC",GT1
55933,Tracy Combined Cycle Power Plant,TPP1/TPP2
55951,Agua Mansa Power,AMP-1
55963,Riverview Energy Center,1
55970,Cosumnes Power Plant,2/3
55977,Bluffview Power Plant,CTG-1
55985,Palomar Energy Center,CTG1/CTG2
56026,Donald Von Raesfeld,PCT1/PCT2
56041,Malburg Generating Station,M1/M2
56046,Magnolia (SCPPA),1
56078,Walnut Energy Center,1/2
56102,Currant Creek Power Project,CTG1A/CTG1B
56135,Ripon Generation Station,1/2
56143,Riverside Energy Resource Center,1/2/3/4
56177,Nebo Power Station,U1
56224,TS Power Plant,001
56227,Port Westward,PWEU1
56232,Miramar Energy Facility,1/2
56237,Lake Side Power Plant,CT01/CT02/CT03/CT04
56239,Malaga Power,GT-1/GT-2
56253,Millcreek Power,MC-1/MC-2
56298,Roseville Energy Park,CT001/CT002
56319,Wygen II,001
56445,Spindle Hill Energy Center,CT-01/CT-02
56458,Hobbs Generating Station,HOBB1/HOBB2
56467,Russell City Energy Company LLC,CT1/CT2
56471,McGrath Generating Station,CT1
56472,Grapeland Generating Station,CT1
56473,Mira Loma Generating Station,CT1
56474,Barre Generating Station,CT1
56475,Center Generating Station,CT1
56476,Gateway Generating Station,GT1/GT2
56482,Black Mountain Generating Station,1/2
56532,Colusa Generating Station,CT1/CT2
56569,Niland Gas Turbine Plant,1/2
56596,Wygen III,001
56606,Culbertson Station,CT01
56609,Dry Fork Station,01
56639,Midway Peaking,1/2
56803,Panoche Energy Center,1/2/3/4
56908,Mill Creek Generating Station,1A/1B/2A/2B/3A/3B
56914,Orange Grove Project,CTG1/CTG2
56948,Coolidge Generating Station,CT01/CT02/CT03/CT04/CT05/CT06/CT07/CT08/CT09/CT10/CT11/CT12
56998,Pueblo Airport Generating Station,CT01/CT02/CT04/CT05/CT06/CT07/CT08
57001,El Cajon Energy Center,1
57027,Canyon Power Plant,1/2/3/4
57028,Langley Gulch Power Plant,CT1
57073,Ivanpah 2,BLR1
57074,Ivanpah 1,BLR1
57075,Ivanpah 3,BLR1
57267,Marsh Landing Generating Station,1/2/3/4
57480,Highwood Generating Station,HGS1
57482,"Sentinel Energy Center, LLC",1/2/3/4/5/6/7/8
57483,Mariposa Energy Project,GT-1/GT-2/GT-3/GT-4
57515,Walnut Creek Energy Park,GT1/GT2/GT3/GT4/GT5
57555,Pio Pico Energy Center LLC,CTG1/CTG2/CTG3
57703,Cheyenne Prairie Generating Station,CT01/CT02/CT03
57978,Lodi Energy Center,CT1
58122,"Delano Energy Center, LLC",GEN1
58284,La Luz Energy Center,1
58503,Carty Generating Station,CTEU1
