orispl_code,max_gload,total_co2
9,70.0,
3456,617.0,22882391.0
58562,376.0,1047738.0
607,124.0,398297.0
3845,1713.0,150656454.0
7605,273.0,10699860.0
7870,135.0,1244853.0
7945,31.0,20472.0
7999,658.0,6499184.0
54476,100.0,1798638.0
54537,195.0,1929375.0
55482,320.0,5978535.0
55662,534.0,10491902.0
55700,328.0,4970328.0
55818,283.0,5147996.0
228,751.0,4805911.0
246,109.0,3454315.0
247,175.0,1649077.0
259,1027.0,4963077.0
260,2617.0,40477377.0
271,1991.0,13058599.0
273,213.0,4058822.0
302,978.0,16626390.0
310,733.0,7473392.0
315,1983.0,24405987.0
329,676.0,6181480.0
330,979.0,10838616.0
331,916.0,5885053.0
335,884.0,12894210.0
341,264.0,340690.0
345,457.0,4657150.0
350,1549.0,10695048.0
356,1305.0,10348847.0
358,1161.0,29054473.0
375,7.0,243.0
377,111.0,2773835.0
389,290.0,6835984.0
399,483.0,2619320.0
400,1539.0,28956542.0
404,827.0,15829143.0
408,595.0,12011177.0
420,130.0,798224.0
422,158.0,499814.0
6013,96.0,313716.0
7266,130.0,3107667.0
7307,120.0,1394431.0
7315,212.0,1236270.0
7449,53.0,389874.0
7527,361.0,3949149.0
7551,174.0,6831521.0
7552,204.0,7318000.0
7693,52.0,635336.0
7987,49.0,228937.0
8058,145.0,152797.0
10034,303.0,925821.0
10156,49.0,255407.0
10169,56.0,1967281.0
10294,49.0,111916.0
10349,63.0,272222.0
10350,58.0,94653.0
10405,25.0,147155.0
50131,43.0,2142089.0
50864,42.0,2158197.0
50865,53.0,2238903.0
54238,54.0,1821817.0
54749,52.0,18221.0
55112,1085.0,13320002.0
55151,1092.0,33365672.0
55182,608.0,18058228.0
55217,628.0,23350161.0
55295,389.0,8257175.0
55333,919.0,30835523.0
55345,622.0,10387384.0
55393,609.0,14409876.0
55400,576.0,21387174.0
55499,55.0,102743.0
55508,60.0,122498.0
55510,53.0,161812.0
55512,53.0,187418.0
55513,51.0,167769.0
55518,530.0,23426165.0
55538,50.0,109195.0
55540,56.0,51916.0
55541,150.0,696141.0
55542,100.0,510805.0
55625,50.0,101891.0
55626,50.0,111966.0
55627,50.0,102876.0
55656,814.0,23528768.0
55698,102.0,520742.0
55748,322.0,1292378.0
55807,104.0,385523.0
55810,149.0,504691.0
55847,60.0,210277.0
55853,769.0,7253654.0
55855,50.0,166833.0
55875,51.0,43305.0
55933,352.0,1723427.0
55951,49.0,250001.0
55963,50.0,165622.0
55970,546.0,17632320.0
55985,577.0,14560368.0
56026,152.0,3624044.0
56041,154.0,4234616.0
56046,316.0,7049949.0
56078,268.0,7833304.0
56135,106.0,285031.0
56143,203.0,386099.0
56232,100.0,613072.0
56239,159.0,793612.0
56298,171.0,2280684.0
56467,643.0,3346360.0
56471,51.0,96748.0
56472,51.0,97355.0
56473,51.0,106267.0
56474,51.0,119819.0
56475,51.0,105362.0
56476,598.0,11324997.0
56532,697.0,7858145.0
56569,97.0,323082.0
56639,121.0,285007.0
56803,426.0,2124449.0
56914,102.0,246100.0
57001,50.0,96553.0
57027,202.0,422748.0
57267,817.0,312296.0
57482,765.0,1399724.0
57483,205.0,295175.0
57515,535.0,1079631.0
57555,340.0,110938.0
57564,40.0,19980.0
57978,210.0,2323329.0
58122,51.0,63598.0
6106,644.0,60673179.0
7350,584.0,18282228.0
54761,494.0,21556500.0
55103,555.0,16596035.0
55328,672.0,20646214.0
55544,120.0,369700.0
55683,25.0,939.0
56227,445.0,9854281.0
58503,492.0,1243026.0
2322,657.0,2466798.0
2324,667.0,57490252.0
2326,89.0,670627.0
2330,232.0,6926382.0
2336,849.0,23366221.0
2341,1590.0,51451033.0
7082,659.0,9719472.0
8224,580.0,50762164.0
10761,228.0,4229605.0
54854,222.0,37233.0
55077,507.0,19534525.0
55322,1156.0,33216304.0
55494,300.0,193788.0
55514,547.0,12377965.0
55687,619.0,13858032.0
55841,580.0,14582185.0
56224,242.0,12707686.0
113,1145.0,131646593.0
116,228.0,1968887.0
117,652.0,11557946.0
118,287.0,1199637.0
120,170.0,3511900.0
124,85.0,223448.0
126,413.0,14769048.0
141,842.0,2858350.0
147,362.0,5881921.0
160,724.0,48750914.0
4941,2444.0,311077623.0
6177,886.0,109986023.0
8068,949.0,16438695.0
8223,1749.0,150935732.0
54694,59.0,9946.0
55124,598.0,11217870.0
55129,633.0,12622401.0
55177,561.0,12961047.0
55282,603.0,9357734.0
55306,2222.0,37475133.0
55372,670.0,10073576.0
55455,1101.0,27025915.0
55481,1299.0,38537629.0
55522,425.0,1435670.0
56482,96.0,363416.0
56948,585.0,852005.0
87,273.0,29866469.0
2442,2245.0,234799032.0
2444,321.0,8312728.0
2446,129.0,4746761.0
2450,170.0,1470030.0
2451,1900.0,211440735.0
2454,496.0,12706776.0
7967,85.0,437398.0
7975,164.0,510747.0
54814,138.0,5924111.0
55039,159.0,642632.0
55210,249.0,2627523.0
55343,593.0,10984082.0
55802,168.0,445140.0
55977,60.0,2328370.0
56458,705.0,12877568.0
58284,42.0,18615.0
465,251.0,17106889.0
468,56.0,3816141.0
469,980.0,75660848.0
470,1549.0,118889604.0
477,200.0,21618729.0
478,152.0,133547.0
492,282.0,33232799.0
508,39.0,367553.0
525,505.0,64397480.0
527,115.0,12366454.0
6021,1410.0,174577977.0
6112,1050.0,29387467.0
6248,561.0,65930977.0
6761,693.0,40978817.0
8219,296.0,29747624.0
10682,184.0,598003.0
50707,185.0,3066370.0
55127,317.0,3298211.0
55200,137.0,1527863.0
55207,93.0,132164.0
55209,151.0,113466.0
55283,533.0,13224617.0
55453,270.0,3292335.0
55504,164.0,516604.0
55505,159.0,573834.0
55645,321.0,3238104.0
55835,644.0,16460770.0
56445,330.0,2584369.0
56998,381.0,3354328.0
3644,191.0,21131186.0
3648,351.0,4788940.0
6165,1473.0,168021474.0
6481,1918.0,224010508.0
7790,507.0,67557190.0
8069,981.0,107755579.0
50951,61.0,
55622,223.0,3609929.0
55858,72.0,116163.0
56102,590.0,11662186.0
56177,153.0,2579367.0
56237,1168.0,14024401.0
56253,394.0,497093.0
4158,875.0,110084793.0
4162,773.0,96840687.0
6101,405.0,55218788.0
6204,1844.0,237417545.0
7504,140.0,16021426.0
8066,2272.0,263472248.0
55477,40.0,269806.0
55479,99.0,13633447.0
56319,106.0,8767475.0
56596,118.0,7270306.0
56609,453.0,21745284.0
57703,116.0,170346.0
2176,48.0,212391.0
2187,172.0,17340914.0
6076,2294.0,287467771.0
6089,58.0,7490215.0
55749,120.0,8965518.0
56606,102.0,293359.0
56908,149.0,1847146.0
57480,46.0,764.0
7456,183.0,830606.0
7953,299.0,1003763.0
55179,293.0,8570691.0
55733,201.0,656450.0
57028,331.0,2790751.0
